Time Stamp	Velocidad
125775543	12
125795694	12
125815512	12
125835535	12
125855544	12
125875543	12
125895499	12
125915539	12,5
125935531	12,5
125955521	12,5
125975544	12,5
125995498	12,5
126015545	12,5
126035522	12,5
126055489	12,5
126075597	12,5
126095517	13
126115546	13
126135539	13
126155532	13
126175510	13
126195541	13
126215618	13
126235566	13
126255588	13
126275541	13
126295519	13
126315493	13
126335584	13
126355559	13
126375536	13
126395538	13
126415526	13,5
126435528	13,5
126455580	13,5
126475581	13,5
126495585	13,5
126515587	13,5
126535542	13,5
126555541	13,5
126575604	13,5
126595586	13,5
126615540	13,5
126635562	13,5
126655506	13,5
126675581	13,5
126695528	13,5
126715583	13,5
126735562	14
126755545	14
126775545	14
126795501	14
126815516	14
126835535	14
126855518	14
126875523	14
126895503	14
126915501	14
126935511	14
126955511	14
126975535	14
126995550	14
127015535	14
127035512	14
127055513	14
127075588	14
127095578	14
127115564	14
127135550	14
127155507	14
127175510	14
127195531	14
127215590	14,5
127235793	14,5
127255526	14,5
127275508	14,5
127295556	14,5
127315567	14,5
127335679	14,5
127355524	14,5
127375539	14,5
127395486	14,5
127415498	14,5
127435530	14,5
127455529	14,5
127475542	14,5
127495571	14,5
127515569	14,5
127535573	14,5
127555520	14,5
127575570	14,5
127595533	14
127615571	14
127635557	14
127655464	14
127675536	14
127695573	14
127715576	14
127735534	14
127755558	14
127775534	14
127795574	14
127815574	14
127835519	14
127855510	14
127875511	14
127895506	14
127915476	14
127935572	14
127955537	14
127975522	14
127995552	14
128015506	14
128035540	14
128055513	14
128075553	14
128095578	14
128115554	14
128135540	14
128155495	14
128175502	14
128195518	14
128215503	14
128235505	14
128255506	14
128275487	14
128295504	14
128315556	14
128335523	14
128355542	14
128375528	14
128395475	14
128415529	14
128435543	14
128455520	14
128475558	14
128495560	13,5
128515560	13,5
128535521	13,5
128555521	13,5
128575492	13,5
128595561	13,5
128615522	13,5
128635557	13,5
128655479	13,5
128675535	13,5
128695562	13,5
128715524	13,5
128735523	13,5
128755504	13,5
128775500	13,5
128795492	13,5
128815496	13,5
128835496	13,5
128855554	13,5
128875471	13,5
128895494	13,5
128915517	13,5
128935552	13,5
128955499	13,5
128975528	13,5
128995482	13,5
129015486	13,5
129035555	13,5
129055503	13,5
129075504	13,5
129095543	13,5
129115530	13,5
129135518	13,5
129155485	13,5
129175469	13
129195544	13
129215535	13
129235570	13
129255545	13
129275546	13
129295546	13
129315537	13
129335525	13
129355529	13
129375518	13
129395464	13
129415492	13
129435535	13
129455548	13
129475549	13
129495572	13
129515556	13
129535510	13
129555511	13
129575550	13
129595550	13
129615541	13
129635537	13
129655468	13
129675526	13
129695552	12,5
129715543	12,5
129735544	12,5
129755515	12,5
129775528	12,5
129795529	12,5
129815519	12,5
129835554	12,5
129855484	12,5
129875500	12,5
129895447	12,5
129915485	12,5
129935555	12,5
129955555	12,5
129975555	12,5
129995531	12,5
130015523	12,5
130035581	12,5
130055531	12,5
130075519	12,5
130095532	12,5
130115564	12,5
130135540	12,5
130155450	12,5
130175462	12
130195479	12
130215482	12
130235485	12
130255460	12
130275484	12
130295484	12
130315525	12
130335522	12
130355497	12
130375562	12
130395495	12
130415487	12
130435479	12
130455467	12
130475474	12
130495500	12
130515527	12
130535468	12
130555468	12
130575475	11,5
130595502	11,5
130615493	11,5
130635501	11,5
130655451	11,5
130675444	11,5
130695503	11,5
130715531	11,5
130735508	11,5
130755513	11,5
130775543	11,5
130795517	11,5
130815533	11,5
130835503	11,5
130855504	11,5
130875490	11,5
130895479	11,5
130915480	11
130935544	11
130955503	11
130975455	11
130995490	11
131015536	11
131035546	11
131055507	11
131075442	11
131095441	11
131115465	11
131135479	11
131155482	11
131175439	11
131195484	11
131215441	10,5
131235464	10,5
131255439	10,5
131275440	10,5
131295525	10,5
131315515	10,5
131335511	10,5
131355487	10,5
131375526	10,5
131395457	10,5
131415517	10,5
131435513	10
131455498	10
131475527	10
131495527	10
131515519	10
131535514	10
131555490	10
131575503	10
131595531	10
131615625	10
131635529	10
131655422	10
131675550	10
131695505	10
131715521	10
131735516	10
131755492	10
131775531	9,5
131795469	9,5
131815476	9,5
131835493	9,5
131855468	9,5
131875508	9,5
131895425	9,5
