Time Stamp	Velocidad 
723798434	0
723818645	0
723838713	0
723858702	0
723878444	0
723898415	0
723918621	0
723938637	0
723958429	0
723978388	0
723998373	0
724018457	0
724038844	0
724058338	0
724078645	0
724098326	0
724118794	0
724138609	0
724158281	0
724178308	0
724198320	0
724218433	0
724238544	0
724258550	0
724278230	0
724298221	0
724318390	0
724338534	0
724358215	0
724378202	0
724398480	0
724418283	0
724438704	0
724458208	0
724478437	0
724498190	0
724518247	0
724538382	0
724558122	0
724578105	0
724598121	0
724618231	0
724638380	0
724658363	0
724678054	0
724698103	0
724718133	0
724738603	0
724758027	0
724778263	0
724798031	0
724818328	0
724838240	0
724858285	0
724878023	0
724897990	0
724918236	0
724938241	0
724958001	0
724977975	0
724997971	0
725017930	0
725038155	0
725058158	0
725077946	0
725098182	0
725118164	0
725138399	0
725157929	0
725178159	0
725197845	0
725217894	0
725238090	0
725258082	0
725277845	0
725297810	0
725318047	0
725338058	0
725357846	0
725377819	0
725397836	0
725417959	0
725438328	0
725457802	0
725478031	0
725497753	0
725518162	0
725537974	0
725557708	0
725577702	0
725597794	0
725617942	0
725637951	0
725657939	0
725677748	0
725697780	0
725717799	0
725737893	0
725757677	0
725777665	0
725797870	0
725817760	0
725838111	0
725857716	0
725877843	0
725897686	0
725917743	0
725937840	0
725957597	0
725977591	0
725997841	0
726017604	0
726037742	0
726057790	0
726077545	0
726097533	0
726117588	0
726138033	0
726157487	0
726177760	0
726197475	0
726217783	0
726237695	0
726257704	0
726277442	0
726297429	0
726317421	0
726337672	0
726357419	0
726377443	0
726397437	0
726417603	0
726437593	0
726457663	0
726477356	0
726497634	0
726517497	0
726537816	0
726557341	0
726577571	0
726597319	0
726617490	0
726637592	0
726657578	0
726677258	0
726697251	0
726717389	0
726737471	0
726757227	0
726777236	0
726797204	0
726817344	0
726837728	0
726857218	0
726877441	0
726897215	0
726917484	0
726937429	0
726957187	0
726977149	0
726997178	0
727017151	0
727037391	0
727057406	0
727077194	0
727097113	0
727117111	0
727137396	0
727157112	0
727177101	0
727197354	0
727217084	0
727237579	0
727257037	0
727277271	0
727297034	0
727317014	0
727337266	0
727356993	0
727377024	0
727397012	0
727416960	0
727437218	0
727457274	0
727476991	0
727496958	0
727516937	0
727537170	0
727557171	0
727576911	0
727597216	0
727616952	0
727637451	0
727656878	0
727676859	0
727696859	0
727716912	0
727737139	0
727756837	0
727776826	0
727796815	0
727816858	0
727837063	0
727857077	0
727876841	0
727897055	0
727916843	0
727937273	0
727956786	0
727977025	0
727996792	0
728016754	0
728036981	0
728056978	0
728076769	0
728096751	0
728116726	0
728136965	0
728156676	0
728176760	0
728196707	0
728216675	0
728237198	0
728256633	0
728276911	0
728296642	0
728316919	0
728336892	0
728356621	0
728376638	0
728396604	0
728416632	0
728436890	0
728456888	0
728476626	0
728496571	0
728516536	0
728536791	0
728556539	0
728576550	0
728596809	0
728616564	0
728637045	0
728656515	0
728676765	0
728696516	0
728716492	0
728736717	0
728756442	0
728776440	0
728796445	0
728816418	0
728836740	0
728856687	0
728876419	0
728896491	0
728916437	0
728936646	0,5
728956373	0,5
728976420	0,5
728996437	0,5
729016360	0,5
729036599	0,5
729056589	0,5
729076374	0,5
729096326	0,5
729116364	0,5
729136597	0,5
729156333	0,5
729176299	0,5
729196322	0,5
729216302	0,5
729236542	1
729256513	1
729276266	1
729296275	1
729316242	1
729336502	1
729356221	1
729376245	1
729396234	1
729416213	1
729436466	1
729456478	1,5
729476219	1,5
729496217	1,5
729516152	1,5
729536421	1,5
729556154	1,5
729576237	1,5
729596199	1,5
729616162	1,5
729636396	1,5
729656155	1,5
729676110	1,5
729696128	1,5
729716136	1,5
729736393	1,5
729756085	2
729776073	2
729796064	2
729816053	2
729836292	2
729856301	2
729876118	2
729896056	2
729916057	2
729936261	2
729956000	2
729976035	2
729996017	2
730015997	2
730036490	2
730055971	2,5
730076210	2,5
730095998	2,5
730116284	2,5
730136171	2,5
730155957	2,5
730175966	2,5
730195960	2,5
730215926	2,5
730236182	2,5
730256140	2,5
730275888	2,5
730295876	2,5
730315917	3
730336131	3
730355940	3
730375871	3
730395886	3
730415897	3
730436132	3
730456100	3
730475824	3
730495857	3
730515814	3
730536053	3
730555795	3
730575818	3
730595808	3
730615797	3
730636114	3,5
730656113	3,5
730675726	3,5
730695756	3,5
730715739	3,5
730735986	3,5
730755697	3,5
730775684	3,5
730795698	3,5
730815686	3,5
730835995	3,5
730856052	3,5
730875729	3,5
730895656	3,5
730915697	3,5
730935918	3,5
730955662	3,5
730975663	3,5
730995705	3,5
731015603	3,5
731035890	3,5
731055869	3,5
731075602	3,5
731095596	3,5
731115602	3,5
731135840	3,5
731155565	3,5
731175564	3,5
731195595	3,5
731215566	3,5
731235799	3,5
731255831	3,5
731275555	3,5
731295549	3,5
731315527	3,5
731335819	3,5
731355542	3,5
731375528	3,5
731395526	3,5
731415511	3,5
731435732	3,5
731455781	3,5
731475503	3,5
731495509	3,5
731515492	3,5
731535711	3,5
731555459	3,5
731575451	3,5
731595458	3,5
731615450	3,5
731635657	3,5
731655689	3,5
731675402	3,5
731695388	3,5
731715382	3,5
731735860	3,5
731755356	3
731775346	3
731795369	3
731815325	3
731835589	3
731855588	3
731875380	3
731895349	3
731915351	3
731935580	3
731955294	3
731975333	3
731995321	3
732015275	3
732035515	2,5
732055515	2,5
732075265	2,5
732095299	2,5
732115288	2,5
732135535	2,5
732155350	2,5
732175339	2,5
732195329	2,5
732215305	2
732235498	2
732255429	2
732275245	2
732295237	2
732315226	2
732335414	2
732355203	2
732375197	2
732395190	2
732415179	1,5
732435394	1,5
732455371	1,5
732475189	1,5
732495179	1,5
732515126	1,5
732535345	1,5
732555114	1,5
732575140	1,5
732595131	1,5
732615120	1,5
732635368	1
732655352	1
732675116	1
732695081	1
732715096	1
732735276	1
732755031	1
732775031	1
732795047	1
732815049	1
732835305	1
732855260	1
732874981	1
732894996	1
732915024	1
732935240	1
732955004	1
732975021	1
732994966	1
733014936	1
733035179	1
733055195	1
733074980	1
733094942	1
733114914	1
733135156	1
733154957	1
733174905	1
733194875	1
733214901	1
733235132	1
733255114	1,5
733274873	1,5
733294853	1,5
733314846	1,5
733335130	1,5
733354884	1,5
733374847	1,5
733394834	1,5
733414850	1,5
733435094	1,5
733455134	1,5
733474845	1,5
733494771	1,5
733514769	1,5
733535009	1,5
733554766	1,5
733574741	1,5
733594784	1,5
733614771	1,5
733635281	1,5
733655035	1,5
733674749	1,5
733694745	1,5
733714735	2
733735253	2
733754700	2
733774695	2
733794686	2
733814677	2
733835195	2
733854979	2
733874678	2
733894650	2
733914677	2
733935198	2
733954661	2
733974683	2
733994633	2
734014627	2
734035091	2
734054863	2
734074612	2
734094608	2,5
734114622	2,5
734135116	2,5
734154599	2,5
734174584	2,5
734194594	2,5
734214591	2,5
734235080	2,5
734254785	2,5
734274531	2,5
734294510	2,5
734314533	2,5
734335023	2,5
734354516	2,5
734374562	2,5
734394506	2,5
734414516	2,5
734434999	2,5
734454750	2,5
734474451	2,5
734494489	2,5
734514440	3
734534927	3
734554450	3
734574457	3
734594452	3
734614437	3
734634918	3
734654680	3
734674429	3
734694419	3
734714422	3
734734879	3
734754365	3
734774365	3
734794374	3
734814346	3
734834918	3
734854605	3
734874376	3
734894349	3
734914358	3,5
734934843	3,5
734954382	3,5
734974382	3,5
734994292	3,5
735014268	3,5
735034783	3,5
735054563	3,5
735074350	3,5
735094313	3,5
735114293	3,5
735134800	3,5
735154287	3,5
735174283	3,5
735194248	4
735214202	4
735234744	4
735254430	4
735274179	4
735294162	4
735314220	4
735334685	4
735354253	4
735374254	4
735394223	4,5
735414172	4,5
735434690	4,5
735454396	4,5
735474202	4,5
735494164	4,5
735514118	4,5
735534535	4,5
735554094	4,5
735574118	4,5
735594099	4,5
735614152	5
735634394	5
735654363	5
735674108	5
735694105	5
735714067	5
735734321	5
735754051	5
735774045	5
735794010	5
735814023	5
735834296	5,5
735854277	5,5
735874048	5,5
735894061	5,5
735914030	5,5
735934277	5,5
735954064	5,5
735974035	5,5
735993999	5,5
736013984	5,5
736034192	5,5
736054188	5,5
736073956	5,5
736093975	6
736113986	6
736134218	6
736153958	6
736173978	6
736193998	6
736213895	6
736234196	6
736254169	6
736273889	6
736293878	6
736313899	6
736334140	6
736353887	6
736373890	6
736393865	6
736413880	6,5
736434121	6,5
736454138	6,5
736473876	6,5
736493840	6,5
736513827	6,5
