Time Stamp	Velocidad 
62742329	18,5
62762306	18,5
62782297	18,5
62802282	18,5
62822277	18,5
62842282	18,5
62862284	18,5
62882280	18,5
62902296	18,5
62922291	18,5
62942288	18,5
62962314	18,5
62982293	18,5
63002336	18,5
63022296	18,5
63042294	18,5
63062277	19
63082325	19
63102263	19
63122301	19
63142281	19
63162284	19
63182387	19
63202318	19
63222287	19
63242372	19
63262305	19
63282349	19
63302264	19
63322280	19
63342310	19
63362351	19
63382497	19
63402277	19
63422253	19
63442288	19
63462311	19
63482456	19
63502277	19
63522298	19
63542279	19
63562324	19
63582497	19
63602340	19
63622274	19
63642288	19
63662301	19
63682504	19
63702278	19
63722289	19
63742291	19
63762344	19
63782510	19
63802304	19
63822256	19
63842288	19,5
63862295	19,5
63882290	19,5
63902276	19,5
63922232	19,5
63942286	19,5
63962254	19,5
63982326	19,5
64002284	19,5
64022299	19,5
64042288	19,5
64062273	19,5
64917976	19,5
64937859	19,5
64957827	19,5
64977836	19,5
64997861	19,5
65017992	19,5
65037854	19,5
65057849	19,5
65077903	19,5
65097865	19,5
65117945	19,5
65137859	19,5
65157831	19,5
65177831	19,5
65197844	19,5
65218000	19,5
65237814	19,5
65257844	19,5
65277903	19,5
65297835	19,5
65318055	19
65337794	19
65357820	19
65377857	19
65397848	19
65417866	19
65437795	19
65457827	19
65477927	19
65497796	19
65517889	19
65537912	19
65557869	19
65577852	19
65597855	19
65617840	19
65637819	19
65657832	19
65677835	19
65697903	19
65717797	19
65737840	19
65757828	19
65777777	19
65797878	19
65817867	19
65837854	19
65857808	19
65877860	19
65897836	18,5
65917833	18,5
65937910	18,5
65957870	18,5
65977860	18,5
65997873	18,5
66017798	18,5
66037881	18,5
66057797	18,5
66077869	18,5
66097806	18,5
66117802	18,5
66137777	18,5
66157801	18,5
66177797	18,5
66197897	18,5
66217913	18,5
66237948	18,5
66257853	18,5
66277894	18,5
66297899	18,5
66317827	18,5
66337837	18,5
66357774	18,5
66377834	18,5
66397796	18,5
66417779	18,5
66437827	18,5
66457773	18,5
66477771	18,5
66497833	18,5
66517803	18,5
66537823	18,5
66557807	18,5
66577782	18,5
66597892	18,5
66617777	18,5
66637879	18,5
66657880	18
66677862	18
66697772	18
66717861	18
66737817	18
66757818	18
66777826	18
66797829	18
66817862	18
66837772	18
66857797	18
66877803	18
66897845	18
66917887	18
66937785	18
66957804	18
66977833	18
66997901	18
67017862	18
67037828	18
67057805	18
67077750	18
67097822	18
67117841	18
67137779	18
67157777	18
67177777	18
67197785	18
67217775	18
67237811	18
67257787	18
67277802	18
67297791	18
67317873	18
67337886	18
67357755	18
67377761	18
67397802	18
67417802	18
67437772	18
67457785	18
67477785	18
67497785	18
67517843	18
67537863	18
67557851	18
67577749	18
67597862	18
67617776	18
67637763	18
67657752	18
67677924	18
67697924	18
67717900	18
67737889	18
67757883	18
67777902	18
67797902	18
67817774	18
67837838	18
67857753	18
67877761	18
67897753	18
67917843	18
67937872	18
67957862	18
67977871	18
67997874	18
68017844	18
68037872	18
68057872	18
68077839	18
68097830	18
68117770	18
68137803	18
68157766	18
68177802	18
68197849	18
68217781	18
68237890	18
68257783	18
68277773	18
68297755	18
68317800	18
68337775	18
68357738	18
68377722	18
68397752	18
68417778	18
68437840	18
68457792	18
68477806	18
68497805	18
68517801	18
68537851	18
68557798	18
68577804	18
68597808	18
68617756	18
68637723	18
68657770	18
68677745	18
68697748	18
68717774	18
68737762	18
68757757	18
68777850	18
68797805	18
68817788	18
68837805	18
68857733	18,5
68877759	18,5
68897731	18,5
68917752	18,5
68937841	18,5
68957732	18,5
68977865	18,5
68997723	18,5
69017904	18,5
69037849	18,5
69057891	18,5
69077771	18,5
69097739	18,5
69117747	18,5
69137747	18,5
69157705	18,5
69177738	18,5
69197742	18,5
69217906	18,5
69237761	18,5
69257730	18,5
69277758	18,5
69297855	18,5
69317761	18,5
69337748	18,5
69357722	18,5
69377732	18,5
69397848	18,5
69417792	19
69437752	19
69457807	19
69477794	19
69497820	19
69517819	19
69537787	19
69557779	19
69577751	19
69597744	19
69617723	19
69637776	19
69657776	19
69677760	19
69697793	19
69717829	19
69737795	19
69757780	19
69777773	19
69797823	19
69817745	19
69837706	19
69857770	19
69877737	19
69897713	19,5
69917750	19,5
69937711	19,5
69957697	19,5
69977729	19,5
69997729	19,5
70017753	19,5
70037740	19,5
70057742	19,5
70077795	19,5
70097794	19,5
70117727	19,5
70137729	19,5
70157729	19,5
70177728	19,5
70197729	19,5
70217728	19,5
70237717	19,5
70257717	19,5
70277780	19,5
70297781	19,5
70317791	19,5
70337698	19,5
70357684	19,5
70377703	20
70397729	20
70417706	20
70437728	20
70457713	20
70477737	20
70497721	20
70517752	20
70537765	20
70557791	20
70577724	20
70597790	20
70617741	20
70637683	20
70657742	20
70677721	20
70697785	20
70717781	20
70737771	20
70757746	20
70777722	20
70797738	20
70817730	20
70837681	20
70857715	20
70877706	20
70897694	20
70917762	20
70937706	20
70957691	20
70977707	20
70997722	20
71017682	20
71037704	20
71057693	20
71077695	20
71097680	20
71117673	20
71137681	20
71157794	20
71177697	20
71197703	20
71217728	20
71237687	20
71257703	20
71277761	20
71297726	20
71317712	20
71337772	20
71357687	20
71377718	20
71397687	20
71417680	20
71437771	20
71457724	20
71477761	20
71497708	20
71517772	20
71537772	20
71557687	20
71577711	20
71597728	20
71617688	20
71637704	20
71657705	20
71677704	20
71697705	20
71717704	20
71737681	20
71757688	20
71777735	20
71797771	20
71817744	20
71837747	20
71857680	20
71877662	20
71897689	20
71917688	20
71937663	20
71957688	20
71977688	20
71997713	20
72017706	20
72037748	20
72057746	20
72077688	20
72097722	20
72117691	20
72137656	20
72157685	20
72177681	20
72197689	20
72217736	20
72237734	20
72257746	20
72277669	20
72297679	20
72317689	20
72337687	20
72357692	20
72377661	20
72397695	20
72417681	20
72437679	20
72457665	20
72477639	20
72497656	20
72517704	20
72537666	20
72557674	20
72577681	19,5
72597655	19,5
72617706	19,5
72637681	19,5
72657722	19,5
72677652	19,5
72697745	19,5
72717716	19,5
72737705	19,5
72757723	19,5
72777667	19,5
72797625	19,5
72817666	19,5
72837749	19,5
72857660	19,5
72877627	19,5
72897647	19,5
72917703	19,5
72937678	19,5
72957706	19,5
72977697	19,5
72997669	19,5
73017693	19,5
73037729	19,5
73057668	19,5
73077667	19,5
73097669	19,5
73117662	19,5
73137678	19,5
73157707	19,5
73177698	19,5
73197706	19,5
73217651	19,5
73237711	19,5
73257707	19,5
73277713	19,5
73297722	19,5
73317629	19,5
73337695	19,5
73357665	19,5
73377653	19,5
73397665	19,5
73417640	19,5
73437726	19,5
73457726	19,5
73477715	19,5
73497722	19,5
73517747	19,5
73537722	19,5
73557721	19,5
73577712	19,5
73597670	19,5
73617630	19,5
73637670	19,5
73657629	19,5
73677687	19,5
73697645	19,5
73717724	19,5
73737722	19,5
73757722	19,5
73777699	19,5
73797689	19,5
73817663	19,5
73837678	19,5
73857627	19,5
73877646	19,5
73897636	19,5
73917635	19,5
73937633	19,5
73957723	19,5
73977722	19,5
73997722	19,5
74017664	19,5
74037722	19,5
74057669	19,5
74077707	19,5
74097624	19,5
74117640	19,5
74137633	19,5
74157634	19,5
74177657	19,5
74197660	19,5
74217629	19,5
74237633	19,5
74257639	19,5
74277626	19,5
74297668	19,5
74317669	19,5
74337672	19,5
74357632	19,5
74377650	19,5
74397633	19,5
74417669	19,5
74437699	19,5
74457652	19,5
74477689	19,5
74497668	19,5
74517678	19,5
74537708	19,5
74557707	19,5
74577676	19,5
74597677	19,5
74617632	19,5
74637634	19,5
74657640	19,5
74677642	19,5
74697677	19,5
74717721	19,5
74737699	19,5
74757665	19,5
74777723	19,5
74797645	19,5
74817642	19,5
74837665	19,5
74857636	19,5
74877644	19,5
74897637	19,5
74917656	19,5
74937635	19,5
74957656	19,5
74977656	19,5
74997626	19,5
75017626	19,5
75037665	19,5
75057724	19,5
75077690	19
75097712	19
75117637	19
75137636	19
75157632	19
75177724	19
75197712	19
75217723	19
75237722	19
75257723	19
75277724	19
75297713	19
75317664	19
75337665	19
75357644	19
75377671	19
75397639	19
75417649	18,5
75437673	18,5
75457713	18,5
75477725	18,5
75497715	18,5
75517722	18,5
75537723	18,5
75557724	18,5
75577691	18,5
75597686	18,5
75617639	18,5
75637654	18,5
75657638	18,5
75677724	18,5
75697672	18,5
75717723	18,5
75737722	18,5
75757723	18,5
75777722	18
75797713	18
75817632	18
75837724	18
75857640	18
75877644	18
75897639	18
75917637	18
75937723	18
75957722	18
75977724	18
75997713	18
76017723	18
76037724	18
76057631	18
76077591	18
76097716	18
76117640	18
76137561	18
76157635	18
76177581	17,5
76197677	17,5
76217636	17,5
76237665	17,5
76257591	17,5
76277591	17,5
76297716	17,5
76317723	17,5
76337616	17,5
76357567	17,5
76377571	17,5
76397638	17,5
76417645	17,5
76437622	17,5
76457594	17
76477615	17
76497715	17
76517724	17
76537650	17
76557649	17
76577650	17
76597598	17
76617638	17
76637561	17
76657562	17
76677569	16,5
76697684	16,5
76717723	16,5
76737571	16,5
76757617	16,5
76777648	16,5
76797630	16,5
76817670	16,5
76837649	16,5
76857598	16,5
76877592	16,5
76897667	16,5
76917631	16,5
76937567	16,5
76957561	16
76977649	16
76997640	16
77017594	16
77037650	16
77057649	16
77077600	16
77097556	16
77117557	16
77137567	16
77157530	16
77177563	16
77197591	16
77217555	16
77237534	16
77257591	16
77277566	16
77297579	16
77317616	16
77337544	16
77357564	15,5
77377550	15,5
77397571	15,5
77417558	15,5
77437618	15,5
77457649	15,5
77477625	15,5
77497580	15,5
77517633	15,5
77537649	15,5
77557556	15,5
77577625	15,5
77597573	15,5
77617558	15,5
77637541	15,5
77657532	15,5
77677537	15,5
77697567	15,5
77717591	15,5
77737546	15,5
77757566	15,5
77777539	15,5
77797538	15,5
77817570	15
77837624	15
77857573	15
77877545	15
77897531	15
77917566	15
77937602	15
77957625	15
77977625	15
77997539	15
78017604	15
78037532	15
78057528	15
78077613	15
78097616	15
78117558	15
78137555	15
78157539	15
78177516	15
78197661	15
78217556	15
78237550	15
78257535	14,5
78277558	14,5
78297551	14,5
78317635	14,5
78337574	14,5
78357549	14,5
78377513	14,5
78397541	14,5
78417535	14,5
78437540	14,5
78457565	14,5
78477601	14,5
78497625	14,5
78517604	14,5
78537599	14,5
78557624	14,5
78577567	14,5
78597532	14,5
78617533	14,5
78637522	14,5
78657507	14,5
78677533	14,5
78697535	14
78717541	14
78737522	14
78757542	14
78777540	14
78797521	14
78817531	14
78837523	14
78857522	14
78877546	14
78897517	14
78917542	14
78937515	14
78957533	14
78977533	14
78997532	14
79017556	13,5
79037542	13,5
79057577	13,5
79077601	13,5
79097600	13,5
79117515	13,5
79137512	13,5
79157487	13,5
79177601	13,5
79197578	13,5
79217625	13,5
79237521	13,5
79257600	13,5
79277600	13,5
79297600	13,5
79317567	13,5
79337541	13,5
79357521	13,5
79377490	13,5
79397514	13
79417523	13
79437542	13
79457601	13
79477575	13
79497518	13
79517585	13
79537585	13
79557583	13
79577584	13
79597592	13
79617515	13
79637498	13
79657478	13
79677509	13
79697512	13
79717508	13
79737479	13
79757534	13
79777509	13
79797586	13
79817532	13
79837566	13
79857495	13
79877510	13
79897496	13
79917516	13
79937528	13
79957576	13
79977501	13
79997498	13
80017513	13
80037575	13
80057516	13
80077486	13
80097576	13
80117519	13
80137486	13
80157490	13
80177464	13
80197532	13
80217539	13
80237514	13
80257514	13
80277514	13
80297552	13
80317559	13
80337551	13
80357517	13
80377504	13
80397494	13
80417512	13
80437476	13
80457552	13
80477552	13
80497520	13
80517495	13
80537552	13
80557528	13
80577552	13,5
80597521	13,5
80617521	13,5
80637518	13,5
80657466	13,5
80677464	13,5
80697509	13,5
80717518	13,5
80737518	13,5
80757467	13,5
80777493	13,5
80797520	13,5
80817500	13,5
80837520	13,5
80857498	13,5
80877496	13,5
80897494	13,5
80917492	13,5
80937498	13,5
80957559	13,5
80977560	13,5
80997467	13,5
81017514	14
81037507	14
81057575	14
81077490	14
81097527	14
81117485	14
81137476	14
81157462	14
81177472	14
81197492	14
81217464	14
81237469	14
81257463	14
81277493	14,5
81297493	14,5
81317461	14,5
81337493	14,5
81357470	14,5
81377461	14,5
81397496	14,5
81417490	14,5
81437468	14,5
81457435	14,5
81477465	14,5
81497465	15
81517485	15
81537462	15
81557437	15
81577552	15
81597544	15
81617499	15
81637444	15
81657439	15
81677460	15,5
81697453	15,5
81717485	15,5
81737494	15,5
81757494	15,5
81777494	15,5
81797551	15,5
81817503	16
81837494	16
81857455	16
81877471	16
81897466	16
81917485	16
81937448	16
81957455	16
81977470	16,5
81997554	16,5
82017542	16,5
82037442	16,5
82057479	16,5
82077527	16,5
82097551	16,5
82117466	17
82137445	17
82157440	17
82177462	17
82197466	17
82217482	17
82237446	17
82257462	17,5
82277469	17,5
82297465	17,5
82317474	17,5
